Date,USD (PM)
2021-08-10,46333.46000000001
2021-08-11,45608.37000000003
2021-08-12,45611.46
2021-08-13,44417.78000000002
2021-08-14,47833.98000000002
2021-08-15,47112.189999999995
2021-08-16,47056.41
2021-08-17,45982.55000000003
2021-08-18,44648.56999999999
2021-08-19,44777.85999999998
2021-08-20,46734.650000000016
2021-08-21,49327.75000000001
2021-08-22,48932.02000000002
2021-08-23,49335.68000000002
2021-08-24,49523.49999999997
2021-08-25,47744.58000000002
2021-08-26,48972.08999999995
2021-08-27,46962.80000000001
2021-08-28,49056.85999999998
2021-08-29,48897.650000000016
2021-08-30,48806.78000000003
2021-08-31,47074.770000000026
2021-09-01,47155.87
2021-09-02,48862.760000000024
2021-09-03,49329.01000000001
2021-09-04,50035.33000000002
2021-09-05,49947.379999999976
2021-09-06,51769.06000000001
2021-09-07,52677.40000000002
2021-09-08,46809.17000000001
2021-09-09,46078.37999999999
2021-09-10,46368.689999999995
